"","Fold_Change_Early_Control","Fold_Change_Advanced_Control","Fold_Change_Advanced_Early","Advanced_DM_Means","Early_DM_Means","Control_noDM_Means","A11A","A12A","A13A","A14A","A15A","A17A","A18A","A19A","A20A","A21A","A22A","A23A","A24A","A25A","A26A","A28A","A29A","A30A","A31A","A32A","A33A","B3B","B4B","B5B","B6B","B8B","B9B","N2A","N3A","N5B","N6B","N7B","N8B","N10B","N12B","N13B"
"MB",2.356,1.474,0.626,2.792,4.462,1.894,12.8131103,0.704417815,0.517137944,0.397763887,2.032767645,2.540986841,4.501503704,4.373161856,2.987285997,0.397763887,1.365201229,2.376768533,5.918696065,1.654634553,1.8756988,1.635358149,1.976491825,2.012436927,1.365201229,2.230442202,4.956616434,2.860378111,6.39631045,4.479988842,1.387928501,5.729925161,5.916543851,0.404162917,0.419360613,2.947955558,2.158248653,3.612535778,1.616081744,1.939208231,1.122646648,2.829306484
"LEP",2.209,1.724,0.781,3.661,4.69,2.123,2.02678959,7.467210947,6.99733962,4.60935761,0.876175611,0.849531882,6.513144911,0.399363645,0.397763887,0.876175611,0.923946856,3.406927339,3.105358815,7.997317571,1.8756988,1.283524232,1.976491825,2.529026984,5.075601443,9.332613795,8.352223233,0.397763887,5.65949343,4.670280168,2.97937865,7.56776338,6.866819202,3.491091337,2.447212526,2.462954459,3.672920967,0.436158066,0.442557096,2.376768533,3.376495105,0.40256316
"GREM1",2.107,2.732,1.297,6.073,4.684,2.223,7.084098768,5.314215924,3.809963495,7.071858518,6.404712899,6.436501688,4.743703943,5.840663217,7.06982917,5.152296597,5.569226609,6.257955429,6.848806873,7.76828278,6.328865961,7.424898285,6.449496647,7.905596549,2.436186927,4.351313741,7.257830981,6.547477864,3.170508835,5.197860419,3.978226805,5.221966142,3.986626744,1.406277477,2.447212526,4.003707171,2.158248653,0.436158066,0.442557096,2.97937865,0.434558309,5.697619513
"LINC02133",1.902,0.661,0.347,1.187,3.418,1.797,0.608075447,1.3812812,0.399363645,1.705805889,0.397763887,1.442815717,0.788927876,0.399363645,2.514336283,0.538265459,0.397763887,0.399363645,0.397763887,2.451590823,2.253845551,0.431358794,0.876175611,1.819868736,3.30437363,0.397763887,2.012436927,1.365201229,7.965758952,2.134593951,3.785704203,1.939208231,3.316068475,2.983332323,4.263050366,0.404162917,2.669862696,3.292087985,0.442557096,1.283524232,0.434558309,0.40256316
"MFAP5",1.879,1.586,0.844,5.523,6.542,3.482,8.047770775,7.560146086,6.894170244,6.814597242,2.650776869,5.252931021,4.501503704,4.442334235,6.03254746,6.385494344,1.705805889,7.705598193,6.619043591,5.5573194,2.474318096,4.754985055,6.165950971,6.589010108,3.876254437,6.542260115,5.411513477,6.392371463,7.291088055,6.278017454,5.152296597,6.144951305,7.993809427,0.788927876,0.419360613,5.54957087,4.346836863,1.654634553,0.442557096,4.520542054,5.478157402,8.132979734
"ATF6B",1.873,1.528,0.816,5.503,6.745,3.602,6.776689858,6.690314592,6.894170244,7.556536568,7.428343346,0.397763887,7.45316142,6.013622471,0.539065338,5.618866482,5.65738101,5.934529391,8.345263472,0.397763887,5.653703683,7.374456247,8.004857105,6.763517732,5.65738101,0.538265459,5.864606687,6.800518473,7.007772062,6.427722474,8.01958018,6.376051217,5.839359387,0.788927876,7.970194487,1.266313173,0.404162917,1.654634553,6.92842557,0.485446671,7.169778796,5.751739612
"DUSP13",1.828,1.202,0.658,1.36,2.067,1.131,7.531534727,0.397763887,0.517137944,0.538265459,0.397763887,1.442815717,3.584725954,1.566656218,0.539065338,0.876175611,0.397763887,0.619439084,0.538265459,1.365201229,2.650776869,0.397763887,0.876175611,0.397763887,1.365201229,0.538265459,2.012436927,1.966855497,0.849531882,2.69459396,2.487612698,1.939208231,2.462954459,0.788927876,1.191490883,2.462954459,1.04900997,0.436158066,0.442557096,1.939208231,1.122646648,0.746672846
"MYLK2",1.809,1.323,0.731,2.731,3.735,2.065,9.326897487,1.54665979,0.399363645,0.397763887,2.447212526,4.18413245,4.353691548,3.51372621,3.816447167,1.397102989,2.353524895,1.762438914,3.600766498,2.451590823,1.8756988,2.72867262,2.524310649,2.012436927,3.478989176,1.157068766,2.012436927,2.306343042,4.09245356,3.672920967,3.978226805,4.089789182,4.271576041,3.860224659,0.419360613,2.462954459,2.669862696,0.436158066,3.091121373,1.283524232,2.654638801,1.705805889
"ACTA1",1.804,1.334,0.739,4.327,5.852,3.244,15.34886166,4.024509556,3.538287153,2.998649634,3.331364954,3.207494659,7.820464132,5.217230336,0.397763887,2.97937865,2.654638801,3.244968183,7.178909164,2.592178929,5.581902467,2.504361916,3.74256284,3.224946509,5.733273277,2.230442202,3.310221052,3.098847567,8.198063034,3.873361564,4.709594781,6.843169369,8.390375702,2.451590823,0.419360613,3.301384602,4.204476462,4.010916215,3.674483507,2.97937865,4.196658937,3.957134072
"GABBR1",1.779,1.781,1.001,3.218,3.214,1.807,6.560987943,0.435358187,5.192699338,7.838227688,0.447356368,0.451355762,0.788927876,5.093924519,0.539065338,0.538265459,6.810589173,4.832958053,0.538265459,0.849531882,7.225765861,0.397763887,3.74256284,0.451355762,7.688301033,5.151359527,2.012436927,5.610871796,6.031115419,1.090079389,5.015076338,1.04900997,0.485446671,0.788927876,6.867186705,0.404162917,1.04900997,1.654634553,1.616081744,0.397763887,1.122646648,2.365146714
